,cluster_id,cluster_size,cluster_beams,max_snr,min_snr,best_candidate_index,best_candidate_file,best_period,best_acc,best_dm,max_dm,min_dm,total_nassoc,max_distance,min_distance,fit_decay,fit_decay_error,fit_amplitude,fit_amplitude_error,spatial_rfi,low_nassoc
687,1489,1,1,9.02168655395508,9.02168655395508,2019,/beegfs/u/prajwalvp/frankenbeam_processing/frankenbeam_retile_no_17_beam_number_32_dm_225_250/overview.xml,0.00113860872493683,-1.4667272567749,231.199996948242,231.199996948242,231.199996948242,1,,,,,,,0,1
688,1551,1,1,9.00721263885498,9.00721263885498,2093,/beegfs/u/prajwalvp/frankenbeam_processing/frankenbeam_retile_no_17_beam_number_1_dm_225_250/overview.xml,0.0012280026271941,0.00811290927231312,235.100006103516,235.100006103516,235.100006103516,1,,,,,,,0,1
689,1550,1,1,9.00725364685059,9.00725364685059,2092,/beegfs/u/prajwalvp/frankenbeam_processing/frankenbeam_retile_no_17_beam_number_0_dm_225_250/overview.xml,0.0011274131709851,-3.54908561706543,226.399993896484,226.399993896484,226.399993896484,1,,,,,,,0,1
690,1549,1,1,9.00736904144287,9.00736904144287,2091,/beegfs/u/prajwalvp/frankenbeam_processing/frankenbeam_retile_no_17_beam_number_4_dm_225_250/overview.xml,0.00177424987749511,1.04729652404785,235.399993896484,235.399993896484,235.399993896484,1,,,,,,,0,1
691,1548,1,1,9.00779628753662,9.00779628753662,2090,/beegfs/u/prajwalvp/frankenbeam_processing/frankenbeam_retile_no_17_beam_number_19_dm_225_250/overview.xml,0.00131585097666437,8.13370990753174,227.5,227.5,227.5,1,,,,,,,0,1
692,1547,1,1,9.00811672210693,9.00811672210693,2089,/beegfs/u/prajwalvp/frankenbeam_processing/frankenbeam_retile_no_17_beam_number_2_dm_225_250/overview.xml,0.00139874527835962,2.77793216705322,238.100006103516,238.100006103516,238.100006103516,1,,,,,,,0,1
693,1546,1,1,9.00818252563477,9.00818252563477,2088,/beegfs/u/prajwalvp/frankenbeam_processing/frankenbeam_retile_no_17_beam_number_32_dm_225_250/overview.xml,0.00146746458859446,0.0800564736127853,229.5,229.5,229.5,1,,,,,,,0,1
694,1545,1,1,9.00818920135498,9.00818920135498,2087,/beegfs/u/prajwalvp/frankenbeam_processing/frankenbeam_retile_no_17_beam_number_33_dm_225_250/overview.xml,0.00138023550605294,-0.835225105285645,234.699996948242,234.699996948242,234.699996948242,1,,,,,,,0,1
695,1552,1,1,9.00688171386719,9.00688171386719,2094,/beegfs/u/prajwalvp/frankenbeam_processing/frankenbeam_retile_no_17_beam_number_33_dm_225_250/overview.xml,0.00484249120517707,-0.719316482543945,231.300003051758,231.300003051758,231.300003051758,1,,,,,,,0,1
696,1544,1,1,9.008620262146,9.008620262146,2086,/beegfs/u/prajwalvp/frankenbeam_processing/frankenbeam_retile_no_17_beam_number_1_dm_225_250/overview.xml,0.000968937922446644,6.82274341583252,238.5,238.5,238.5,1,,,,,,,0,1
697,1542,1,1,9.00909614562988,9.00909614562988,2083,/beegfs/u/prajwalvp/frankenbeam_processing/frankenbeam_retile_no_17_beam_number_33_dm_225_250/overview.xml,0.00104763778588557,1.31908226013184,249.399993896484,249.399993896484,249.399993896484,1,,,,,,,0,1
698,1541,1,1,9.0091495513916,9.0091495513916,2082,/beegfs/u/prajwalvp/frankenbeam_processing/frankenbeam_retile_no_17_beam_number_32_dm_225_250/overview.xml,0.00140888768729848,-7.36207962036133,238.100006103516,238.100006103516,238.100006103516,1,,,,,,,0,1
699,1540,1,1,9.00937271118164,9.00937271118164,2081,/beegfs/u/prajwalvp/frankenbeam_processing/frankenbeam_retile_no_17_beam_number_4_dm_225_250/overview.xml,0.00221866467911289,2.47816848754883,249.899993896484,249.899993896484,249.899993896484,1,,,,,,,0,1
700,1539,1,1,9.00958251953125,9.00958251953125,2080,/beegfs/u/prajwalvp/frankenbeam_processing/frankenbeam_retile_no_17_beam_number_0_dm_225_250/overview.xml,0.00630610614399834,0.379821747541428,226.5,226.5,226.5,1,,,,,,,0,1
701,1538,1,1,9.00958728790283,9.00958728790283,2079,/beegfs/u/prajwalvp/frankenbeam_processing/frankenbeam_retile_no_17_beam_number_0_dm_225_250/overview.xml,0.0020654391481778,1.11124610900879,229.800003051758,229.800003051758,229.800003051758,1,,,,,,,0,1
702,1537,1,1,9.00965023040771,9.00965023040771,2078,/beegfs/u/prajwalvp/frankenbeam_processing/frankenbeam_retile_no_17_beam_number_32_dm_225_250/overview.xml,0.00103712376411106,-7.47798824310303,249.600006103516,249.600006103516,249.600006103516,1,,,,,,,0,1
703,1536,1,1,9.00976657867432,9.00976657867432,2077,/beegfs/u/prajwalvp/frankenbeam_processing/frankenbeam_retile_no_17_beam_number_0_dm_225_250/overview.xml,0.0014463006165492,0.335856080055237,243.899993896484,243.899993896484,243.899993896484,1,,,,,,,0,1
704,1543,1,1,9.00896072387695,9.00896072387695,2085,/beegfs/u/prajwalvp/frankenbeam_processing/frankenbeam_retile_no_17_beam_number_32_dm_225_250/overview.xml,0.0012903985964395,0.0280972383916378,245.899993896484,245.899993896484,245.899993896484,1,,,,,,,0,1
705,1554,1,1,9.00553512573242,9.00553512573242,2097,/beegfs/u/prajwalvp/frankenbeam_processing/frankenbeam_retile_no_17_beam_number_2_dm_225_250/overview.xml,0.00104167289207788,0.295887291431427,248.399993896484,248.399993896484,248.399993896484,1,,,,,,,0,1
