PULSAR CAND_NO SNR F0 CAND_F0 DM CAND_DM
Ter5A 14644 10.8509120941162 86.48163690602267 86.49884033203135 242.342 242.5849609375
Ter5A 14734 10.8116636276245 86.48163690602267 86.49841308593751 242.342 242.5849609375
Ter5C 14804 10.7836227416992 118.53825602162425 118.54856872558597 237.058835 236.873779296875
Ter5A 14842 10.7639589309692 86.48163690602267 86.49868011474621 242.342 242.5849609375
Ter5A 14978 10.7134075164795 86.48163690602267 86.49828338623018 242.342 241.623657226562
Ter5aj 15041 10.6851434707642 337.96234358564925 338.0179443359377 238.623548 239.71240234375
Ter5A 15125 10.651647567749 86.48163690602267 86.49819946289053 242.342 242.5849609375
Ter5C 15170 10.6351289749146 118.53825602162425 118.54861450195312 237.058835 237.344543457031
Ter5A 15246 10.6043071746826 86.48163690602267 86.498382568359 242.342 242.5849609375
Ter5O 15258 10.5996961593628 596.435429049485 596.3146972656236 236.225469 235.935043334961
Ter5A 15293 10.584210395813 86.48163690602267 86.47570800781243 242.342 242.5849609375
Ter5A 15364 10.5596160888672 86.48163690602267 86.49819946289053 242.342 242.5849609375
Ter5A 15446 10.5319442749023 86.48163690602267 86.49906921386741 242.342 242.5849609375
Ter5A 15497 10.5123519897461 86.48163690602267 86.4753189086915 242.342 243.067047119141
Ter5A 15590 10.4786691665649 86.48163690602267 86.49861145019521 242.342 242.10383605957
Ter5aj 15651 10.4584064483643 337.96234358564925 338.0179443359377 238.623548 238.762451171875
Ter5A 15892 10.3712358474731 86.48163690602267 86.48632049560547 242.342 243.067047119141
Ter5A 15986 10.3326845169067 86.48163690602267 86.47370147705054 242.342 242.5849609375
Ter5E 16015 10.318977355957 455.00044784254186 455.0332946777352 236.670923 236.873779296875
Ter5A 16238 10.2495718002319 86.48163690602267 86.49906921386741 242.342 243.067047119141
Ter5C 16305 10.2301397323608 118.53825602162425 118.54856872558597 237.058835 237.344543457031
Ter5X 16347 10.2157115936279 333.41576615916733 333.4600219726563 239.845147 239.71240234375
Ter5C 16418 10.1915683746338 118.53825602162425 118.54856872558597 237.058835 236.403945922852
Ter5Y 16492 10.1682109832764 488.2433695045541 488.29092407226466 238.832144 238.762451171875
Ter5A 16526 10.1590003967285 86.48163690602267 86.48977661132801 242.342 242.5849609375
Ter5A 16592 10.1379871368408 86.48163690602267 86.48885345458997 242.342 242.5849609375
Ter5A 16673 10.1187953948975 86.48163690602267 86.49834442138697 242.342 242.5849609375
Ter5A 16676 10.1182460784912 86.48163690602267 86.49916076660146 242.342 242.10383605957
Ter5L 16748 10.0972490310669 445.49372347897673 445.53250122070403 237.553066 237.344543457031
Ter5A 16989 10.0371828079224 86.48163690602267 86.49898529052697 242.342 242.5849609375
Ter5ag 17281 9.97257518768311 224.81852025075125 224.8138122558595 237.341152 236.403945922852
Ter5A 17400 9.94700050354004 86.48163690602267 86.49840545654311 242.342 242.5849609375
Ter5A 17496 9.92772388458252 86.48163690602267 86.48188781738308 242.342 243.550079345703
